loan_amnt,State,emp_length,label
11175,E,5 years,1
20000,E,10+ years,1
15000,E,8 years,1
28000,E,5 years,1
8000,E,6 years,1
6375,E,3 years,1
18750,E,10+ years,1
30000,E,10+ years,1
14000,E,10+ years,1
8800,E,1 year,1
20000,E,1 year,1
35000,E,10+ years,1
3600,E,10+ years,1
7000,E,2 years,1
10900,E,7 years,1
13625,E,1 year,1
20000,E,8 years,1
9600,E,10+ years,1
21600,E,1 year,1
18000,E,10+ years,1
32100,E,2 years,1
11200,E,4 years,1
2400,E,2 years,1
6000,E,10+ years,1
8400,E,7 years,1
15000,E,2 years,1
31000,E,4 years,1
15000,E,5 years,1
5000,E,10+ years,1
35000,E,3 years,1
15000,E,1 year,1
17000,E,10+ years,1
18000,E,7 years,1
10000,E,1 year,1
3350,E,unknown,1
5600,E,8 years,1
5000,E,5 years,1
28000,E,10+ years,1
20000,E,9 years,1
11000,E,2 years,1
12000,E,10+ years,1
8000,E,7 years,1
7000,E,3 years,1
18000,E,6 years,1
12000,E,4 years,1
33100,E,10+ years,1
21000,E,4 years,1
27275,E,2 years,1
4000,E,1 year,1
18000,E,10+ years,1
35000,E,10+ years,1
15000,E,10+ years,1
21000,E,6 years,1
15000,E,8 years,1
15000,E,10+ years,1
35000,E,10+ years,1
5600,E,6 years,1
12900,E,10+ years,1
25000,E,2 years,1
12000,E,2 years,1
8200,E,6 years,1
30000,E,10+ years,1
17400,E,10+ years,1
24000,E,10+ years,1
10000,E,10+ years,1
29250,E,10+ years,1
30000,E,10+ years,1
30000,E,10+ years,1
5125,E,2 years,1
5000,E,10+ years,1
24000,E,4 years,1
23750,E,unknown,1
3000,E,5 years,1
19000,E,8 years,1
20000,E,5 years,1
16000,E,2 years,1
35000,E,8 years,1
20000,E,unknown,1
3000,E,1 year,1
9000,E,unknown,1
7200,E,5 years,1
18000,E,3 years,1
13225,E,10+ years,1
12000,E,1 year,1
28000,E,10+ years,1
12000,E,10+ years,1
5000,E,5 years,1
10000,E,7 years,1
29725,E,10+ years,1
25000,E,5 years,1
25000,E,10+ years,1
10000,E,6 years,1
16000,E,1 year,1
24000,E,10+ years,1
2000,E,7 years,1
17000,E,2 years,1
12000,E,< 1 year,1
24000,E,6 years,1
18000,E,9 years,1
25000,E,10+ years,1
20225,E,3 years,1
15000,E,2 years,1
9000,E,5 years,1
11500,E,7 years,1
13650,E,4 years,1
35000,E,10+ years,1
19100,E,6 years,1
9000,E,5 years,1
9600,E,10+ years,1
24000,E,9 years,1
35000,E,10+ years,1
15000,E,< 1 year,1
10000,E,1 year,1
16000,E,7 years,1
5000,E,< 1 year,1
4800,E,10+ years,1
7000,E,4 years,1
12000,E,7 years,1
20000,E,< 1 year,1
35000,E,10+ years,1
29975,E,10+ years,1
16000,E,10+ years,1
20000,E,3 years,1
15500,E,10+ years,1
20000,E,unknown,1
35000,E,2 years,1
5000,E,4 years,1
24000,E,3 years,1
19525,E,10+ years,1
26925,E,8 years,1
12000,E,10+ years,1
9000,E,8 years,1
22225,E,3 years,1
22400,E,10+ years,1
20000,E,2 years,1
15000,E,10+ years,1
9900,E,7 years,1
10800,E,< 1 year,1
11875,E,2 years,1
25000,E,9 years,1
5000,E,10+ years,1
30350,E,10+ years,1
14000,E,2 years,1
24000,E,6 years,1
20000,E,1 year,1
16000,E,10+ years,1
17350,E,10+ years,1
35000,E,1 year,1
2650,E,< 1 year,1
15000,E,1 year,1
21000,E,< 1 year,1
