loan_amnt,purpose,zip_code,State,emp_length,label
3600,debt_consolidation,190xx,PA,10+ years,1
24700,small_business,577xx,SD,10+ years,1
20000,home_improvement,605xx,IL,10+ years,1
35000,debt_consolidation,076xx,NJ,10+ years,1
10400,major_purchase,174xx,PA,3 years,1
11950,debt_consolidation,300xx,GA,4 years,1
20000,debt_consolidation,550xx,MN,10+ years,1
20000,major_purchase,293xx,SC,10+ years,1
10000,credit_card,160xx,PA,6 years,1
8000,credit_card,029xx,RI,10+ years,1
22400,debt_consolidation,290xx,SC,6 years,1
16000,debt_consolidation,786xx,TX,1 year,1
1400,other,275xx,NC,3 years,1
18000,debt_consolidation,916xx,CA,7 years,1
28000,debt_consolidation,275xx,NC,10+ years,1
9600,credit_card,299xx,SC,8 years,1
25000,debt_consolidation,226xx,VA,10+ years,1
18000,debt_consolidation,856xx,AZ,10+ years,1
23000,credit_card,117xx,NY,5 years,1
8650,debt_consolidation,462xx,IN,8 years,1
29900,debt_consolidation,219xx,MD,10+ years,1
16000,credit_card,297xx,SC,10+ years,1
28000,debt_consolidation,100xx,NY,2 years,1
5000,credit_card,214xx,MD,2 years,1
6000,debt_consolidation,750xx,TX,10+ years,1
4225,debt_consolidation,672xx,KS,5 years,1
20000,debt_consolidation,125xx,NY,9 years,1
16000,debt_consolidation,880xx,NM,< 1 year,1
17600,credit_card,672xx,KS,< 1 year,1
15000,home_improvement,238xx,VA,10+ years,1
16000,small_business,354xx,AL,10+ years,1
24250,debt_consolidation,114xx,NY,4 years,1
12000,debt_consolidation,993xx,WA,1 year,1
25000,debt_consolidation,212xx,MD,9 years,1
16800,debt_consolidation,636xx,MO,10+ years,1
7000,credit_card,215xx,MD,10+ years,1
21000,credit_card,441xx,OH,< 1 year,1
27500,other,710xx,LA,10+ years,1
7200,home_improvement,300xx,GA,10+ years,1
20000,credit_card,606xx,IL,6 years,1
20000,house,331xx,FL,5 years,1
10000,credit_card,802xx,CO,2 years,1
16000,debt_consolidation,945xx,CA,9 years,1
20000,debt_consolidation,984xx,WA,5 years,1
8650,credit_card,462xx,IN,< 1 year,1
21000,debt_consolidation,761xx,TX,2 years,1
7200,debt_consolidation,142xx,NY,< 1 year,1
8800,credit_card,493xx,MI,10+ years,1
14650,debt_consolidation,430xx,OH,2 years,1
2500,other,330xx,FL,10+ years,1
11000,credit_card,441xx,OH,10+ years,1
23850,debt_consolidation,231xx,VA,10+ years,1
15700,credit_card,707xx,LA,6 years,1
28800,debt_consolidation,331xx,FL,10+ years,1
10000,house,644xx,MO,4 years,1
24000,home_improvement,376xx,TN,unknown,1
28000,debt_consolidation,471xx,IN,10+ years,1
35000,home_improvement,200xx,DC,10+ years,1
7200,debt_consolidation,015xx,MA,10+ years,1
10000,credit_card,453xx,OH,2 years,1
16000,credit_card,019xx,MA,1 year,1
21875,credit_card,347xx,FL,< 1 year,1
14025,debt_consolidation,546xx,WI,10+ years,1
35000,debt_consolidation,351xx,AL,7 years,1
20000,debt_consolidation,029xx,RI,10+ years,1
14000,debt_consolidation,852xx,AZ,2 years,1
16000,credit_card,936xx,CA,5 years,1
28000,debt_consolidation,300xx,GA,2 years,1
20000,debt_consolidation,210xx,MD,10+ years,1
17600,credit_card,322xx,FL,< 1 year,1
4200,debt_consolidation,134xx,NY,10+ years,1
19000,credit_card,112xx,NY,9 years,1
15850,debt_consolidation,440xx,OH,10+ years,1
10000,debt_consolidation,460xx,IN,10+ years,1
30000,home_improvement,430xx,OH,2 years,1
1500,vacation,967xx,HI,unknown,1
25000,credit_card,054xx,VT,1 year,1
16250,debt_consolidation,128xx,NY,2 years,1
20200,debt_consolidation,958xx,CA,4 years,1
23975,credit_card,220xx,VA,10+ years,1
15000,debt_consolidation,350xx,AL,10+ years,1
10000,debt_consolidation,472xx,IN,3 years,1
