loan_amnt,State,emp_length,label
11175,AK,5 years,1
20000,AK,10+ years,1
15000,AK,8 years,1
28000,AK,5 years,1
8000,AK,6 years,1
6375,AK,3 years,1
18750,AK,10+ years,1
30000,AK,10+ years,1
14000,AK,10+ years,1
8800,AK,1 year,1
20000,AK,1 year,1
35000,AK,10+ years,1
3600,AK,10+ years,1
7000,AK,2 years,1
10900,AK,7 years,1
13625,AK,1 year,1
20000,AK,8 years,1
9600,AK,10+ years,1
21600,AK,1 year,1
18000,AK,10+ years,1
32100,AK,2 years,1
11200,AK,4 years,1
2400,AK,2 years,1
6000,AK,10+ years,1
8400,AK,7 years,1
15000,AK,2 years,1
31000,AK,4 years,1
15000,AK,5 years,1
5000,AK,10+ years,1
35000,AK,3 years,1
15000,AK,1 year,1
17000,AK,10+ years,1
18000,AK,7 years,1
10000,AK,1 year,1
3350,AK,unknown,1
5600,AK,8 years,1
5000,AK,5 years,1
28000,AK,10+ years,1
20000,AK,9 years,1
11000,AK,2 years,1
12000,AK,10+ years,1
8000,AK,7 years,1
7000,AK,3 years,1
18000,AK,6 years,1
12000,AK,4 years,1
33100,AK,10+ years,1
21000,AK,4 years,1
27275,AK,2 years,1
4000,AK,1 year,1
18000,AK,10+ years,1
35000,AK,10+ years,1
15000,AK,10+ years,1
21000,AK,6 years,1
15000,AK,8 years,1
15000,AK,10+ years,1
35000,AK,10+ years,1
5600,AK,6 years,1
12900,AK,10+ years,1
25000,AK,2 years,1
12000,AK,2 years,1
8200,AK,6 years,1
30000,AK,10+ years,1
17400,AK,10+ years,1
24000,AK,10+ years,1
10000,AK,10+ years,1
29250,AK,10+ years,1
30000,AK,10+ years,1
30000,AK,10+ years,1
5125,AK,2 years,1
5000,AK,10+ years,1
24000,AK,4 years,1
23750,AK,unknown,1
3000,AK,5 years,1
19000,AK,8 years,1
20000,AK,5 years,1
16000,AK,2 years,1
35000,AK,8 years,1
20000,AK,unknown,1
3000,AK,1 year,1
9000,AK,unknown,1
7200,AK,5 years,1
18000,AK,3 years,1
13225,AK,10+ years,1
12000,AK,1 year,1
28000,AK,10+ years,1
12000,AK,10+ years,1
5000,AK,5 years,1
10000,AK,7 years,1
29725,AK,10+ years,1
25000,AK,5 years,1
25000,AK,10+ years,1
10000,AK,6 years,1
16000,AK,1 year,1
24000,AK,10+ years,1
2000,AK,7 years,1
17000,AK,2 years,1
12000,AK,< 1 year,1
24000,AK,6 years,1
18000,AK,9 years,1
25000,AK,10+ years,1
20225,AK,3 years,1
15000,AK,2 years,1
9000,AK,5 years,1
11500,AK,7 years,1
13650,AK,4 years,1
35000,AK,10+ years,1
19100,AK,6 years,1
9000,AK,5 years,1
9600,AK,10+ years,1
24000,AK,9 years,1
35000,AK,10+ years,1
15000,AK,< 1 year,1
10000,AK,1 year,1
16000,AK,7 years,1
5000,AK,< 1 year,1
4800,AK,10+ years,1
7000,AK,4 years,1
12000,AK,7 years,1
20000,AK,< 1 year,1
35000,AK,10+ years,1
29975,AK,10+ years,1
16000,AK,10+ years,1
20000,AK,3 years,1
15500,AK,10+ years,1
20000,AK,unknown,1
35000,AK,2 years,1
5000,AK,4 years,1
24000,AK,3 years,1
19525,AK,10+ years,1
26925,AK,8 years,1
12000,AK,10+ years,1
9000,AK,8 years,1
22225,AK,3 years,1
22400,AK,10+ years,1
20000,AK,2 years,1
15000,AK,10+ years,1
9900,AK,7 years,1
10800,AK,< 1 year,1
11875,AK,2 years,1
25000,AK,9 years,1
5000,AK,10+ years,1
30350,AK,10+ years,1
14000,AK,2 years,1
24000,AK,6 years,1
20000,AK,1 year,1
16000,AK,10+ years,1
17350,AK,10+ years,1
35000,AK,1 year,1
2650,AK,< 1 year,1
15000,AK,1 year,1
21000,AK,< 1 year,1
35000,AK,3 years,1
24000,AK,3 years,1
10000,AK,unknown,1
4575,AK,1 year,1
4200,AK,10+ years,1
35000,AK,10+ years,1
32000,AK,10+ years,1
7200,AK,< 1 year,1
14400,AK,8 years,1
12600,AK,2 years,1
14000,AK,9 years,1
12000,AK,2 years,1
12000,AK,8 years,1
24000,AK,7 years,1
10000,AK,10+ years,1
2975,AK,9 years,1
14000,AK,< 1 year,1
14550,AK,< 1 year,1
25000,AK,2 years,1
31500,AK,< 1 year,1
35000,AK,10+ years,1
31000,AK,9 years,1
20000,AK,10+ years,1
20000,AK,< 1 year,1
20000,AK,10+ years,1
15000,AK,1 year,1
16000,AK,10+ years,1
28000,AK,10+ years,1
4000,AK,8 years,1
23500,AK,unknown,1
5000,AK,1 year,1
30000,AK,10+ years,1
15000,AK,10+ years,1
26000,AK,< 1 year,1
24475,AK,10+ years,1
18000,AK,10+ years,1
15000,AK,10+ years,1
28000,AK,5 years,1
10000,AK,2 years,1
22000,AK,9 years,1
10000,AK,10+ years,1
24850,AK,unknown,1
5450,AK,unknown,1
10100,AK,10+ years,1
3000,AK,10+ years,1
15000,AK,< 1 year,1
25000,AK,2 years,1
22075,AK,2 years,1
16725,AK,10+ years,1
7000,AK,10+ years,1
20000,AK,10+ years,1
21700,AK,10+ years,1
11200,AK,10+ years,1
16000,AK,2 years,1
20000,AK,10+ years,1
12000,AK,10+ years,1
28000,AK,6 years,1
12600,AK,2 years,1
25000,AK,8 years,1
28000,AK,3 years,1
7200,AK,3 years,1
16000,AK,8 years,1
14000,AK,10+ years,1
13300,AK,7 years,1
5500,AK,2 years,1
25000,AK,10+ years,1
16000,AL,10+ years,1
35000,AL,7 years,1
15000,AL,10+ years,1
20000,AL,< 1 year,1
20000,AL,10+ years,1
15225,AL,3 years,1
9500,AL,10+ years,1
10000,AL,10+ years,1
25000,AL,10+ years,1
30000,AL,5 years,1
15000,AL,10+ years,1
26000,AL,6 years,1
25000,AL,unknown,1
33100,AL,10+ years,1
15000,AL,10+ years,1
14000,AL,10+ years,1
5000,AL,< 1 year,1
14400,AL,< 1 year,1
1400,AL,10+ years,1
9500,AL,4 years,1
14225,AL,5 years,1
25000,AL,10+ years,1
10800,AL,3 years,1
14425,AL,10+ years,1
8600,AL,10+ years,1
18000,AL,10+ years,1
13000,AL,9 years,1
35000,AL,8 years,1
11775,AL,2 years,1
5000,AL,2 years,1
7500,AL,10+ years,1
5500,AL,7 years,1
30000,AL,3 years,1
11200,AL,10+ years,1
9600,AL,10+ years,1
16325,AL,10+ years,1
13250,AL,9 years,1
8000,AL,8 years,1
14000,AL,3 years,1
14400,AL,1 year,1
8450,AL,4 years,1
30000,AL,10+ years,1
15000,AL,1 year,1
10125,AL,10+ years,1
4175,AL,unknown,1
35000,AL,10+ years,1
9600,AL,10+ years,1
10200,AL,6 years,1
1500,AL,10+ years,1
10850,AL,10+ years,1
11800,AL,10+ years,1
23000,AL,3 years,1
17000,AL,unknown,1
8000,AL,6 years,1
15000,AL,2 years,1
27000,AL,7 years,1
4200,AL,6 years,1
4000,AL,4 years,1
3200,AL,10+ years,1
13600,AL,3 years,1
17500,AL,10+ years,1
18800,AL,10+ years,1
12000,AL,7 years,1
15000,AL,2 years,1
14400,AL,10+ years,1
7725,AL,6 years,1
9375,AL,10+ years,1
28000,AL,1 year,1
21000,AL,5 years,1
15000,AL,8 years,1
12000,AL,2 years,1
25000,AL,2 years,1
14400,AL,10+ years,1
24000,AL,9 years,1
30000,AL,7 years,1
10000,AL,10+ years,1
11450,AL,10+ years,1
11200,AL,8 years,1
