loan_amnt,State,emp_length,label
9500.0,E,1 year,0
25000.0,E,1 year,0
5000.0,E,< 1 year,0
25000.0,E,10+ years,0
500.0,E,< 1 year,0
9000.0,E,10+ years,0
3000.0,E,4 years,0
3000.0,E,3 years,0
23000.0,E,7 years,0
5000.0,E,4 years,0
4000.0,E,10+ years,0
25000.0,E,< 1 year,0
21250.0,E,< 1 year,0
3000.0,E,10+ years,0
3500.0,E,5 years,0
23000.0,E,1 year,0
9000.0,E,< 1 year,0
3000.0,E,1 year,0
20050.0,E,1 year,0
16000.0,E,1 year,0
10000.0,E,< 1 year,0
15000.0,E,7 years,0
16000.0,E,10+ years,0
3000.0,E,< 1 year,0
16000.0,E,8 years,0
25000.0,E,< 1 year,0
20000.0,E,1 year,0
7500.0,E,9 years,0
14800.0,E,< 1 year,0
13000.0,E,10+ years,0
19750.0,E,10+ years,0
17000.0,E,1 year,0
1500.0,E,4 years,0
15000.0,E,5 years,0
10000.0,E,3 years,0
1500.0,E,2 years,0
2000.0,E,< 1 year,0
7500.0,E,2 years,0
7000.0,E,4 years,0
7500.0,E,< 1 year,0
7000.0,E,3 years,0
7500.0,E,9 years,0
6500.0,E,3 years,0
5700.0,E,2 years,0
15000.0,E,2 years,0
7500.0,E,4 years,0
7500.0,E,3 years,0
7000.0,E,5 years,0
5000.0,E,2 years,0
7000.0,E,4 years,0
3000.0,E,1 year,0
3000.0,E,2 years,0
3000.0,E,< 1 year,0
16000.0,E,< 1 year,0
7000.0,E,2 years,0
3000.0,E,3 years,0
15000.0,E,10+ years,0
5000.0,E,< 1 year,0
2500.0,E,< 1 year,0
25000.0,E,4 years,0
10000.0,E,7 years,0
20000.0,E,9 years,0
5000.0,E,< 1 year,0
22500.0,E,< 1 year,0
3000.0,E,< 1 year,0
8000.0,E,< 1 year,0
13000.0,E,4 years,0
15000.0,E,1 year,0
5000.0,E,< 1 year,0
7500.0,E,9 years,0
10000.0,E,2 years,0
2000.0,E,4 years,0
6000.0,E,9 years,0
10000.0,E,4 years,0
8000.0,E,< 1 year,0
4200.0,E,< 1 year,0
5000.0,E,4 years,0
10000.0,E,< 1 year,0
2500.0,E,2 years,0
4000.0,E,3 years,0
15000.0,E,3 years,0
6300.0,E,< 1 year,0
1000.0,E,10+ years,0
15000.0,E,3 years,0
25000.0,E,1 year,0
5000.0,E,4 years,0
7000.0,E,10+ years,0
20000.0,E,5 years,0
15000.0,E,3 years,0
3000.0,E,6 years,0
10000.0,E,< 1 year,0
5000.0,E,3 years,0
5000.0,E,1 year,0
20000.0,E,10+ years,0
20000.0,E,< 1 year,0
20000.0,E,2 years,0
20000.0,E,4 years,0
2000.0,E,< 1 year,0
15500.0,E,8 years,0
2500.0,E,7 years,0
10000.0,E,< 1 year,0
18000.0,E,4 years,0
4000.0,E,7 years,0
1500.0,E,2 years,0
20000.0,E,3 years,0
7000.0,E,1 year,0
7500.0,E,2 years,0
16500.0,E,2 years,0
19900.0,E,10+ years,0
25000.0,E,10+ years,0
25000.0,E,10+ years,0
25000.0,E,1 year,0
4000.0,E,< 1 year,0
25000.0,E,< 1 year,0
25000.0,E,< 1 year,0
20000.0,E,< 1 year,0
18000.0,E,1 year,0
2500.0,E,< 1 year,0
2000.0,E,< 1 year,0
1500.0,E,2 years,0
10000.0,E,< 1 year,0
1500.0,E,4 years,0
25000.0,E,1 year,0
4000.0,E,3 years,0
12000.0,E,1 year,0
15000.0,E,< 1 year,0
15000.0,E,10+ years,0
25000.0,E,2 years,0
1000.0,E,3 years,0
1000.0,E,5 years,0
10000.0,E,< 1 year,0
13000.0,E,< 1 year,0
10000.0,E,< 1 year,0
2000.0,E,10+ years,0
7000.0,E,< 1 year,0
12000.0,E,6 years,0
2250.0,E,< 1 year,0
8000.0,E,1 year,0
3000.0,E,3 years,0
2500.0,E,1 year,0
6000.0,E,< 1 year,0
8000.0,E,1 year,0
15000.0,E,1 year,0
20000.0,E,2 years,0
13350.0,E,1 year,0
2000.0,E,< 1 year,0
4500.0,E,3 years,0
10000.0,E,9 years,0
1500.0,E,3 years,0
14000.0,E,< 1 year,0
15000.0,E,2 years,0
25000.0,E,< 1 year,0
3000.0,E,3 years,0
2000.0,E,8 years,0
15000.0,E,1 year,0
1000.0,E,10+ years,0
3200.0,E,< 1 year,0
20000.0,E,5 years,0
9100.0,E,< 1 year,0
25000.0,E,< 1 year,0
2000.0,E,< 1 year,0
15000.0,E,7 years,0
20000.0,E,10+ years,0
5000.0,E,< 1 year,0
1000.0,E,5 years,0
14000.0,E,1 year,0
1200.0,E,1 year,0
12000.0,E,1 year,0
1200.0,E,2 years,0
7000.0,E,< 1 year,0
14000.0,E,< 1 year,0
15000.0,E,2 years,0
1000.0,E,1 year,0
15000.0,E,< 1 year,0
3500.0,E,2 years,0
30000.0,E,< 1 year,0
8000.0,E,8 years,0
5000.0,E,2 years,0
30000.0,E,2 years,0
1500.0,E,< 1 year,0
25000.0,E,10+ years,0
1000.0,E,1 year,0
10000.0,E,1 year,0
6000.0,E,< 1 year,0
25000.0,E,1 year,0
7500.0,E,< 1 year,0
10000.0,E,1 year,0
1000.0,E,3 years,0
25000.0,E,5 years,0
25000.0,E,< 1 year,0
1700.0,E,1 year,0
25000.0,E,9 years,0
20000.0,E,6 years,0
3000.0,E,6 years,0
1000.0,E,3 years,0
2000.0,E,10+ years,0
4000.0,E,1 year,0
18000.0,E,3 years,0
1500.0,E,1 year,0
5500.0,E,3 years,0
5000.0,E,3 years,0
14000.0,E,< 1 year,0
3000.0,E,< 1 year,0
25000.0,E,3 years,0
5000.0,E,4 years,0
5000.0,E,4 years,0
1000.0,E,2 years,0
3000.0,E,4 years,0
16000.0,E,6 years,0
2000.0,E,< 1 year,0
10000.0,E,10+ years,0
13500.0,E,4 years,0
2500.0,E,1 year,0
25000.0,E,6 years,0
6000.0,E,2 years,0
25000.0,E,7 years,0
5000.0,E,7 years,0
5000.0,E,3 years,0
