loan_amnt,purpose,Zip Code,State,emp_length,label
1000,Wedding Covered but No Honeymoon,481xx,NM,4 years,0
1000,Consolidating Debt,010xx,MA,< 1 year,0
11000,Want to consolidate my debt,212xx,MD,1 year,0
6000,waksman,017xx,MA,< 1 year,0
1500,mdrigo,209xx,MD,< 1 year,0
15000,Trinfiniti,105xx,NY,3 years,0
10000,NOTIFYi Inc,210xx,MD,< 1 year,0
3900,For Justin.,469xx,IN,2 years,0
3000,title?,808xx,CO,4 years,0
2500,timgerst,407xx,KY,4 years,0
3900,need to consolidate,705xx,LA,10+ years,0
1000,sixstrings,424xx,KY,1 year,0
3000,bmoore5110,190xx,PA,< 1 year,0
1500,MHarkins,189xx,PA,3 years,0
1000,Moving,354xx,AL,< 1 year,0
8000,Recent College Grad Wants to Pay Off CCs,374xx,TN,< 1 year,0
12000,FoundersCafe.com,770xx,TX,3 years,0
1000,UChicago2004,207xx,MD,3 years,0
15000,Cancer is Killing My Credit,432xx,OH,< 1 year,0
5000,2006-2007 College Debt Loan,011xx,MA,< 1 year,0
15000,twbmc,773xx,TX,< 1 year,0
5000,Bills & Vacation,212xx,MD,1 year,0
4950,Vehicle Purchase/Used Auto,220xx,VA,2 years,0
6100,thejanman,453xx,OH,2 years,0
12000,Finish Off College,462xx,IN,2 years,0
25000,Phuocpnn,631xx,MO,< 1 year,0
15000,Established borrower consolodating debt,559xx,MN,< 1 year,0
5000,mainmanandy,457xx,OH,< 1 year,0
10000,Jaguar10301,221xx,VA,< 1 year,0
10000,rpinho78,061xx,CT,< 1 year,0
1000,ashtru,443xx,OH,< 1 year,0
4000,sparks,630xx,MO,< 1 year,0
7000,big fat lender,941xx,CA,< 1 year,0
25000,toeeeekne,483xx,FL,2 years,0
1000,stnthoma22,462xx,IN,2 years,0
6500,natbunn,773xx,TX,< 1 year,0
2000,SGearhart1381,658xx,MO,< 1 year,0
15000,2dozen,453xx,OH,4 years,0
6000,Good Heart Bad Credit!,953xx,CA,1 year,0
2500,mbcoon,790xx,TX,1 year,0
12500,boardwalk,775xx,TX,9 years,0
3000,danthe83,551xx,MN,< 1 year,0
7500,maryk2001,316xx,GA,5 years,0
5000,ppatti113,024xx,MA,1 year,0
5000,spidermonkey07,448xx,OH,< 1 year,0
4000,brock1jd,480xx,MN,< 1 year,0
1000,jprice1542,373xx,TN,< 1 year,0
5000,mashowar,474xx,IN,4 years,0
1000,jaynesweet,681xx,NE,2 years,0
1000,memorial,328xx,FL,2 years,0
6025,Fleurdetragedie,301xx,GA,2 years,0
10000,jfirson,668xx,KS,1 year,0
3000,cdc,786xx,TX,1 year,0
10000,katiemass,452xx,OH,1 year,0
2100,A clean sweep before buying a new house,208xx,MD,1 year,0
5000,kennysack,477xx,IN,< 1 year,0
10000,dreamerabove,021xx,MA,< 1 year,0
1200,jflack,720xx,AR,4 years,0
4000,ceodiva,302xx,GA,< 1 year,0
15000,joelforeman,328xx,FL,2 years,0
1000,auburnmk23,368xx,AL,< 1 year,0
2500,Scott Stowe,460xx,IN,1 year,0
