loan_amnt,State,emp_length,label
9500,AK,1 year,0
25000,AK,1 year,0
5000,AK,< 1 year,0
25000,AK,10+ years,0
500,AK,< 1 year,0
9000,AK,10+ years,0
3000,AK,4 years,0
3000,AK,3 years,0
23000,AK,7 years,0
5000,AK,4 years,0
4000,AK,10+ years,0
25000,AK,< 1 year,0
21250,AK,< 1 year,0
3000,AK,10+ years,0
3500,AK,5 years,0
23000,AK,1 year,0
9000,AK,< 1 year,0
3000,AK,1 year,0
20050,AK,1 year,0
16000,AK,1 year,0
10000,AK,< 1 year,0
15000,AK,7 years,0
16000,AK,10+ years,0
3000,AK,< 1 year,0
16000,AK,8 years,0
25000,AK,< 1 year,0
20000,AK,1 year,0
7500,AK,9 years,0
14800,AK,< 1 year,0
13000,AK,10+ years,0
19750,AK,10+ years,0
17000,AK,1 year,0
1500,AK,4 years,0
15000,AK,5 years,0
10000,AK,3 years,0
1500,AK,2 years,0
2000,AK,< 1 year,0
7500,AK,2 years,0
7000,AK,4 years,0
7500,AK,< 1 year,0
7000,AK,3 years,0
7500,AK,9 years,0
6500,AK,3 years,0
5700,AK,2 years,0
15000,AK,2 years,0
7500,AK,4 years,0
7500,AK,3 years,0
7000,AK,5 years,0
5000,AK,2 years,0
7000,AK,4 years,0
3000,AK,1 year,0
3000,AK,2 years,0
3000,AK,< 1 year,0
16000,AK,< 1 year,0
7000,AK,2 years,0
3000,AK,3 years,0
15000,AK,10+ years,0
5000,AK,< 1 year,0
2500,AK,< 1 year,0
25000,AK,4 years,0
10000,AK,7 years,0
20000,AK,9 years,0
5000,AK,< 1 year,0
22500,AK,< 1 year,0
3000,AK,< 1 year,0
8000,AK,< 1 year,0
13000,AK,4 years,0
15000,AK,1 year,0
5000,AK,< 1 year,0
7500,AK,9 years,0
10000,AK,2 years,0
2000,AK,4 years,0
6000,AK,9 years,0
10000,AK,4 years,0
8000,AK,< 1 year,0
4200,AK,< 1 year,0
5000,AK,4 years,0
10000,AK,< 1 year,0
2500,AK,2 years,0
4000,AK,3 years,0
15000,AK,3 years,0
6300,AK,< 1 year,0
1000,AK,10+ years,0
15000,AK,3 years,0
25000,AK,1 year,0
5000,AK,4 years,0
7000,AK,10+ years,0
20000,AK,5 years,0
15000,AK,3 years,0
3000,AK,6 years,0
10000,AK,< 1 year,0
5000,AK,3 years,0
5000,AK,1 year,0
20000,AK,10+ years,0
20000,AK,< 1 year,0
20000,AK,2 years,0
20000,AK,4 years,0
2000,AK,< 1 year,0
15500,AK,8 years,0
2500,AK,7 years,0
10000,AK,< 1 year,0
18000,AK,4 years,0
4000,AK,7 years,0
1500,AK,2 years,0
20000,AK,3 years,0
7000,AK,1 year,0
7500,AK,2 years,0
16500,AK,2 years,0
19900,AK,10+ years,0
25000,AK,10+ years,0
25000,AK,10+ years,0
25000,AK,1 year,0
4000,AK,< 1 year,0
25000,AK,< 1 year,0
25000,AK,< 1 year,0
20000,AK,< 1 year,0
18000,AK,1 year,0
2500,AK,< 1 year,0
2000,AK,< 1 year,0
1500,AK,2 years,0
10000,AK,< 1 year,0
1500,AK,4 years,0
25000,AK,1 year,0
4000,AK,3 years,0
12000,AK,1 year,0
15000,AK,< 1 year,0
15000,AK,10+ years,0
25000,AK,2 years,0
1000,AK,3 years,0
1000,AK,5 years,0
10000,AK,< 1 year,0
13000,AK,< 1 year,0
10000,AK,< 1 year,0
2000,AK,10+ years,0
7000,AK,< 1 year,0
12000,AK,6 years,0
2250,AK,< 1 year,0
8000,AK,1 year,0
3000,AK,3 years,0
2500,AK,1 year,0
6000,AK,< 1 year,0
8000,AK,1 year,0
15000,AK,1 year,0
20000,AK,2 years,0
13350,AK,1 year,0
2000,AK,< 1 year,0
4500,AK,3 years,0
10000,AK,9 years,0
1500,AK,3 years,0
14000,AK,< 1 year,0
15000,AK,2 years,0
25000,AK,< 1 year,0
3000,AK,3 years,0
2000,AK,8 years,0
15000,AK,1 year,0
1000,AK,10+ years,0
3200,AK,< 1 year,0
20000,AK,5 years,0
9100,AK,< 1 year,0
25000,AK,< 1 year,0
2000,AK,< 1 year,0
15000,AK,7 years,0
20000,AK,10+ years,0
5000,AK,< 1 year,0
1000,AK,5 years,0
14000,AK,1 year,0
1200,AK,1 year,0
12000,AK,1 year,0
1200,AK,2 years,0
7000,AK,< 1 year,0
14000,AK,< 1 year,0
15000,AK,2 years,0
1000,AK,1 year,0
15000,AK,< 1 year,0
3500,AK,2 years,0
30000,AK,< 1 year,0
8000,AK,8 years,0
5000,AK,2 years,0
30000,AK,2 years,0
1500,AK,< 1 year,0
25000,AK,10+ years,0
1000,AK,1 year,0
10000,AK,1 year,0
6000,AK,< 1 year,0
25000,AK,1 year,0
7500,AK,< 1 year,0
10000,AK,1 year,0
1000,AK,3 years,0
25000,AK,5 years,0
25000,AK,< 1 year,0
1700,AK,1 year,0
25000,AK,9 years,0
20000,AK,6 years,0
3000,AK,6 years,0
1000,AK,3 years,0
2000,AK,10+ years,0
4000,AK,1 year,0
18000,AK,3 years,0
1500,AK,1 year,0
5500,AK,3 years,0
5000,AK,3 years,0
14000,AK,< 1 year,0
3000,AK,< 1 year,0
25000,AK,3 years,0
5000,AK,4 years,0
5000,AK,4 years,0
1000,AK,2 years,0
3000,AK,4 years,0
16000,AK,6 years,0
2000,AK,< 1 year,0
10000,AK,10+ years,0
13500,AK,4 years,0
2500,AK,1 year,0
25000,AK,6 years,0
6000,AK,2 years,0
25000,AK,7 years,0
5000,AK,7 years,0
5000,AK,3 years,0
25000,AK,9 years,0
12000,AK,unknown,0
25000,AK,3 years,0
12000,AK,1 year,0
25000,AK,10+ years,0
1500,AK,2 years,0
25000,AK,9 years,0
1000,AK,4 years,0
30000,AK,10+ years,0
5000,AK,5 years,0
25000,AK,< 1 year,0
30000,AK,1 year,0
20000,AK,6 years,0
5000,AK,2 years,0
5000,AK,6 years,0
10000,AK,< 1 year,0
1000,AL,< 1 year,0
1000,AL,< 1 year,0
1000,AL,1 year,0
6000,AL,< 1 year,0
3000,AL,10+ years,0
3500,AL,< 1 year,0
